name,type,value,date
柳承敏,韩国,12254,2008-11
朱世赫,韩国,12222,2008-11
郝帅,中国,12210,2008-11
王皓,中国,12867,2008-12
马琳,中国,12823,2008-12
马龙,中国,12660,2008-12
蒂姆·波尔,德国,12617,2008-12
王励勤,中国,12523,2008-12
萨姆索诺夫,白俄罗斯,12518,2008-12
陈玘,中国,12351,2008-12
柳承敏,韩国,12228,2008-12
郝帅,中国,12210,2008-12
朱世赫,韩国,12192,2008-12
王皓,中国,12874,2009-06
马龙,中国,12754,2009-06
蒂姆·波尔,德国,12730,2009-06
马琳,中国,12708,2009-06
王励勤,中国,12550,2009-06
萨姆索诺夫,白俄罗斯,12395,2009-06
陈玘,中国,12289,2009-06
郝帅,中国,12251,2009-06
朱世赫,韩国,12237,2009-06
格林卡,希腊,12131,2009-06
王皓,中国,12874,2009-07
马龙,中国,12762,2009-07
马琳,中国,12723,2009-07
蒂姆·波尔,德国,12706,2009-07
王励勤,中国,12593,2009-07
萨姆索诺夫,白俄罗斯,12347,2009-07
陈玘,中国,12274,2009-07
朱世赫,韩国,12271,2009-07
郝帅,中国,12251,2009-07
丁祥恩,韩国,12187,2009-07
马龙,中国,12830,2010-01
王皓,中国,12719,2010-01
马琳,中国,12668,2010-01
蒂姆·波尔,德国,12639,2010-01
王励勤,中国,12526,2010-01
萨姆索诺夫,白俄罗斯,12419,2010-01
郝帅,中国,12326,2010-01
米凯尔·梅兹,丹麦,12273,2010-01
陈玘,中国,12264,2010-01
水谷隼,日本,12233,2010-01
马龙,中国,2878,2010-02
王皓,中国,2685,2010-02
蒂姆·波尔,德国,2665,2010-02
马琳,中国,2649,2010-02
王励勤,中国,2575,2010-02
萨姆索诺夫,白俄罗斯,2501,2010-02
郝帅,中国,2414,2010-02
张继科,中国,2402,2010-02
米凯尔·梅兹,丹麦,2396,2010-02
朱世赫,韩国,2389,2010-02
马龙,中国,2865,2010-03
王皓,中国,2656,2010-03
马琳,中国,2640,2010-03
王励勤,中国,2633,2010-03
蒂姆·波尔,德国,2619,2010-03
张继科,中国,2544,2010-03
许昕,中国,2497,2010-03
萨姆索诺夫,白俄罗斯,2489,2010-03
朱世赫,韩国,2398,2010-03
水谷隼,日本,2387,2010-03
马龙,中国,3001,2010-04
王皓,中国,2707,2010-04
马琳,中国,2641,2010-04
王励勤,中国,2635,2010-04
蒂姆·波尔,德国,2604,2010-04
张继科,中国,2601,2010-04
许昕,中国,2514,2010-04
朱世赫,韩国,2484,2010-04
萨姆索诺夫,白俄罗斯,2471,2010-04
米凯尔·梅兹,丹麦,2446,2010-04
马龙,中国,2961,2010-05
王皓,中国,2647,2010-05
蒂姆·波尔,德国,2604,2010-05
张继科,中国,2601,2010-05
马琳,中国,2601,2010-05
王励勤,中国,2585,2010-05
许昕,中国,2499,2010-05
萨姆索诺夫,白俄罗斯,2483,2010-05
朱世赫,韩国,2454,2010-05
米凯尔·梅兹,丹麦,2416,2010-05
马龙,中国,2935,2010-06
蒂姆·波尔,德国,2649,2010-06
马琳,中国,2639,2010-06
王皓,中国,2633,2010-06
张继科,中国,2602,2010-06
王励勤,中国,2585,2010-06
许昕,中国,2507,2010-06
萨姆索诺夫,白俄罗斯,2505,2010-06
水谷隼,日本,2496,2010-06
朱世赫,韩国,2484,2010-06
马龙,中国,2847,2010-07
王皓,中国,2630,2010-07
蒂姆·波尔,德国,2601,2010-07
马琳,中国,2589,2010-07
张继科,中国,2556,2010-07
王励勤,中国,2541,2010-07
萨姆索诺夫,白俄罗斯,2481,2010-07
许昕,中国,2480,2010-07
水谷隼,日本,2447,2010-07
米凯尔·梅兹,丹麦,2411,2010-07
马龙,中国,2847,2010-08
蒂姆·波尔,德国,2657,2010-08
王皓,中国,2632,2010-08
马琳,中国,2589,2010-08
张继科,中国,2556,2010-08
王励勤,中国,2541,2010-08
萨姆索诺夫,白俄罗斯,2493,2010-08
水谷隼,日本,2482,2010-08
许昕,中国,2478,2010-08
朱世赫,韩国,2434,2010-08
马龙,中国,2847,2010-09
蒂姆·波尔,德国,2676,2010-09
张继科,中国,2611,2010-09
马琳,中国,2606,2010-09
王皓,中国,2581,2010-09
王励勤,中国,2554,2010-09
萨姆索诺夫,白俄罗斯,2553,2010-09
许昕,中国,2523,2010-09
朱世赫,韩国,2495,2010-09
水谷隼,日本,2426,2010-09
马龙,中国,2815,2010-10
蒂姆·波尔,德国,2699,2010-10
张继科,中国,2613,2010-10
马琳,中国,2606,2010-10
王皓,中国,2591,2010-10
王励勤,中国,2554,2010-10
许昕,中国,2527,2010-10
萨姆索诺夫,白俄罗斯,2517,2010-10
朱世赫,韩国,2469,2010-10
水谷隼,日本,2426,2010-10
马龙,中国,2743,2010-11
蒂姆·波尔,德国,2735,2010-11
王皓,中国,2681,2010-11
张继科,中国,2645,2010-11
马琳,中国,2576,2010-11
王励勤,中国,2548,2010-11
许昕,中国,2503,2010-11
朱世赫,韩国,2485,2010-11
水谷隼,日本,2483,2010-11
萨姆索诺夫,白俄罗斯,2474,2010-11
马龙,中国,2731,2010-12
蒂姆·波尔,德国,2699,2010-12
王皓,中国,2689,2010-12
张继科,中国,2608,2010-12
马琳,中国,2583,2010-12
萨姆索诺夫,白俄罗斯,2533,2010-12
王励勤,中国,2516,2010-12
朱世赫,韩国,2497,2010-12
许昕,中国,2479,2010-12
水谷隼,日本,2473,2010-12
蒂姆·波尔,德国,2726,2011-01
马龙,中国,2683,2011-01
王皓,中国,2665,2011-01
张继科,中国,2598,2011-01
马琳,中国,2590,2011-01
萨姆索诺夫,白俄罗斯,2577,2011-01
水谷隼,日本,2554,2011-01
王励勤,中国,2516,2011-01
朱世赫,韩国,2514,2011-01
许昕,中国,2467,2011-01
蒂姆·波尔,德国,2706,2011-02
王皓,中国,2692,2011-02
马琳,中国,2644,2011-02
马龙,中国,2643,2011-02
萨姆索诺夫,白俄罗斯,2577,2011-02
张继科,中国,2557,2011-02
水谷隼,日本,2553,2011-02
许昕,中国,2532,2011-02
王励勤,中国,2509,2011-02
朱世赫,韩国,2488,2011-02
蒂姆·波尔,德国,2769,2011-03
王皓,中国,2744,2011-03
马龙,中国,2667,2011-03
张继科,中国,2657,2011-03
马琳,中国,2635,2011-03
许昕,中国,2614,2011-03
水谷隼,日本,2604,2011-03
萨姆索诺夫,白俄罗斯,2559,2011-03
王励勤,中国,2529,2011-03
朱世赫,韩国,2487,2011-03
王皓,中国,2769,2011-04
蒂姆·波尔,德国,2757,2011-04
张继科,中国,2631,2011-04
马琳,中国,2630,2011-04
马龙,中国,2603,2011-04
许昕,中国,2596,2011-04
水谷隼,日本,2594,2011-04
萨姆索诺夫,白俄罗斯,2562,2011-04
王励勤,中国,2529,2011-04
朱世赫,韩国,2459,2011-04
王皓,中国,2769,2011-05
蒂姆·波尔,德国,2756,2011-05
张继科,中国,2631,2011-05
马琳,中国,2630,2011-05
马龙,中国,2603,2011-05
许昕,中国,2597,2011-05
水谷隼,日本,2594,2011-05
萨姆索诺夫,白俄罗斯,2590,2011-05
王励勤,中国,2529,2011-05
朱世赫,韩国,2468,2011-05
王皓,中国,2842,2011-06
蒂姆·波尔,德国,2812,2011-06
张继科,中国,2772,2011-06
马琳,中国,2672,2011-06
马龙,中国,2665,2011-06
水谷隼,日本,2639,2011-06
许昕,中国,2621,2011-06
萨姆索诺夫,白俄罗斯,2618,2011-06
王励勤,中国,2591,2011-06
朱世赫,韩国,2514,2011-06
王皓,中国,2857,2011-07
蒂姆·波尔,德国,2818,2011-07
马琳,中国,2763,2011-07
张继科,中国,2747,2011-07
马龙,中国,2710,2011-07
水谷隼,日本,2620,2011-07
萨姆索诺夫,白俄罗斯,2618,2011-07
王励勤,中国,2614,2011-07
许昕,中国,2601,2011-07
朱世赫,韩国,2529,2011-07
王皓,中国,2857,2011-08
蒂姆·波尔,德国,2794,2011-08
马琳,中国,2763,2011-08
张继科,中国,2747,2011-08
马龙,中国,2710,2011-08
萨姆索诺夫,白俄罗斯,2632,2011-08
王励勤,中国,2614,2011-08
水谷隼,日本,2610,2011-08
许昕,中国,2599,2011-08
朱世赫,韩国,2520,2011-08
王皓,中国,2821,2011-09
马龙,中国,2763,2011-09
蒂姆·波尔,德国,2761,2011-09
张继科,中国,2753,2011-09
马琳,中国,2712,2011-09
水谷隼,日本,2649,2011-09
王励勤,中国,2596,2011-09
萨姆索诺夫,白俄罗斯,2592,2011-09
许昕,中国,2570,2011-09
朱世赫,韩国,2509,2011-09
马龙,中国,2832,2011-10
王皓,中国,2809,2011-10
张继科,中国,2797,2011-10
蒂姆·波尔,德国,2737,2011-10
马琳,中国,2736,2011-10
水谷隼,日本,2675,2011-10
许昕,中国,2616,2011-10
王励勤,中国,2596,2011-10
萨姆索诺夫,白俄罗斯,2582,2011-10
朱世赫,韩国,2509,2011-10
马龙,中国,2873,2011-11
王皓,中国,2807,2011-11
张继科,中国,2767,2011-11
蒂姆·波尔,德国,2725,2011-11
马琳,中国,2702,2011-11
王励勤,中国,2636,2011-11
水谷隼,日本,2627,2011-11
许昕,中国,2616,2011-11
萨姆索诺夫,白俄罗斯,2513,2011-11
朱世赫,韩国,2489,2011-11
马龙,中国,2937,2011-12
张继科,中国,2898,2011-12
王皓,中国,2873,2011-12
蒂姆·波尔,德国,2702,2011-12
许昕,中国,2661,2011-12
王励勤,中国,2658,2011-12
马琳,中国,2627,2011-12
水谷隼,日本,2614,2011-12
朱世赫,韩国,2586,2011-12
奥恰洛夫,德国,2544,2011-12
马龙,中国,2937,2012-01
张继科,中国,2898,2012-01
王皓,中国,2873,2012-01
蒂姆·波尔,德国,2702,2012-01
许昕,中国,2662,2012-01
王励勤,中国,2658,2012-01
马琳,中国,2627,2012-01
朱世赫,韩国,2586,2012-01
水谷隼,日本,2574,2012-01
奥恰洛夫,德国,2524,2012-01
马龙,中国,2993,2012-02
张继科,中国,2932,2012-02
王皓,中国,2818,2012-02
蒂姆·波尔,德国,2702,2012-02
许昕,中国,2682,2012-02
朱世赫,韩国,2669,2012-02
马琳,中国,2649,2012-02
王励勤,中国,2640,2012-02
水谷隼,日本,2574,2012-02
奥恰洛夫,德国,2524,2012-02
马龙,中国,2954,2012-03
张继科,中国,2875,2012-03
王皓,中国,2792,2012-03
许昕,中国,2713,2012-03
朱世赫,韩国,2664,2012-03
蒂姆·波尔,德国,2660,2012-03
马琳,中国,2635,2012-03
水谷隼,日本,2618,2012-03
王励勤,中国,2595,2012-03
奥恰洛夫,德国,2497,2012-03
马龙,中国,3006,2012-04
张继科,中国,2923,2012-04
王皓,中国,2803,2012-04
许昕,中国,2735,2012-04
马琳,中国,2666,2012-04
蒂姆·波尔,德国,2658,2012-04
水谷隼,日本,2623,2012-04
朱世赫,韩国,2597,2012-04
王励勤,中国,2595,2012-04
奥恰洛夫,德国,2554,2012-04
马龙,中国,2975,2012-05
张继科,中国,2923,2012-05
王皓,中国,2805,2012-05
许昕,中国,2751,2012-05
马琳,中国,2666,2012-05
蒂姆·波尔,德国,2658,2012-05
水谷隼,日本,2616,2012-05
朱世赫,韩国,2582,2012-05
王励勤,中国,2574,2012-05
庄智渊,中国台湾,2560,2012-05
张继科,中国,2933,2012-06
马龙,中国,2932,2012-06
许昕,中国,2829,2012-06
王皓,中国,2765,2012-06
马琳,中国,2645,2012-06
蒂姆·波尔,德国,2617,2012-06
水谷隼,日本,2584,2012-06
庄智渊,中国台湾,2570,2012-06
王励勤,中国,2569,2012-06
朱世赫,韩国,2541,2012-06
张继科,中国,2921,2012-07
马龙,中国,2911,2012-07
许昕,中国,2820,2012-07
王皓,中国,2747,2012-07
水谷隼,日本,2637,2012-07
马琳,中国,2621,2012-07
蒂姆·波尔,德国,2590,2012-07
庄智渊,中国台湾,2553,2012-07
王励勤,中国,2551,2012-07
朱世赫,韩国,2523,2012-07
张继科,中国,2993,2012-08
马龙,中国,2931,2012-08
许昕,中国,2820,2012-08
王皓,中国,2816,2012-08
水谷隼,日本,2644,2012-08
马琳,中国,2621,2012-08
蒂姆·波尔,德国,2620,2012-08
庄智渊,中国台湾,2592,2012-08
奥恰洛夫,德国,2574,2012-08
王励勤,中国,2551,2012-08
张继科,中国,2972,2012-09
马龙,中国,2907,2012-09
许昕,中国,2809,2012-09
王皓,中国,2804,2012-09
马琳,中国,2632,2012-09
水谷隼,日本,2626,2012-09
蒂姆·波尔,德国,2610,2012-09
王励勤,中国,2580,2012-09
奥恰洛夫,德国,2575,2012-09
庄智渊,中国台湾,2556,2012-09
张继科,中国,2951,2012-10
马龙,中国,2921,2012-10
许昕,中国,2831,2012-10
王皓,中国,2792,2012-10
蒂姆·波尔,德国,2672,2012-10
马琳,中国,2614,2012-10
水谷隼,日本,2611,2012-10
庄智渊,中国台湾,2595,2012-10
王励勤,中国,2580,2012-10
奥恰洛夫,德国,2555,2012-10
张继科,中国,2936,2012-11
马龙,中国,2897,2012-11
许昕,中国,2831,2012-11
王皓,中国,2771,2012-11
蒂姆·波尔,德国,2683,2012-11
马琳,中国,2608,2012-11
水谷隼,日本,2596,2012-11
庄智渊,中国台湾,2595,2012-11
王励勤,中国,2562,2012-11
朱世赫,韩国,2536,2012-11
张继科,中国,2861,2012-12
马龙,中国,2857,2012-12
许昕,中国,2810,2012-12
王皓,中国,2743,2012-12
蒂姆·波尔,德国,2662,2012-12
马琳,中国,2609,2012-12
奥恰洛夫,德国,2567,2012-12
庄智渊,中国台湾,2566,2012-12
王励勤,中国,2548,2012-12
水谷隼,日本,2546,2012-12
许昕,中国,2882,2013-01
张继科,中国,2861,2013-01
马龙,中国,2857,2013-01
王皓,中国,2780,2013-01
蒂姆·波尔,德国,2662,2013-01
马琳,中国,2645,2013-01
庄智渊,中国台湾,2609,2013-01
奥恰洛夫,德国,2567,2013-01
王励勤,中国,2548,2013-01
水谷隼,日本,2546,2013-01
许昕,中国,2847,2013-02
马龙,中国,2813,2013-02
张继科,中国,2812,2013-02
王皓,中国,2792,2013-02
蒂姆·波尔,德国,2663,2013-02
庄智渊,中国台湾,2626,2013-02
马琳,中国,2613,2013-02
水谷隼,日本,2572,2013-02
奥恰洛夫,德国,2567,2013-02
王励勤,中国,2549,2013-02
马龙,中国,2897,2013-03
许昕,中国,2873,2013-03
张继科,中国,2868,2013-03
王皓,中国,2804,2013-03
蒂姆·波尔,德国,2663,2013-03
庄智渊,中国台湾,2648,2013-03
奥恰洛夫,德国,2629,2013-03
马琳,中国,2581,2013-03
水谷隼,日本,2549,2013-03
王励勤,中国,2549,2013-03
马龙,中国,2905,2013-04
许昕,中国,2895,2013-04
张继科,中国,2838,2013-04
王皓,中国,2804,2013-04
蒂姆·波尔,德国,2663,2013-04
庄智渊,中国台湾,2644,2013-04
奥恰洛夫,德国,2629,2013-04
马琳,中国,2580,2013-04
王励勤,中国,2549,2013-04
水谷隼,日本,2533,2013-04
许昕,中国,2964,2013-05
马龙,中国,2929,2013-05
王皓,中国,2833,2013-05
张继科,中国,2828,2013-05
蒂姆·波尔,德国,2663,2013-05
庄智渊,中国台湾,2626,2013-05
奥恰洛夫,德国,2614,2013-05
马琳,中国,2599,2013-05
王励勤,中国,2544,2013-05
水谷隼,日本,2526,2013-05
许昕,中国,2979,2013-06
马龙,中国,2955,2013-06
张继科,中国,2922,2013-06
王皓,中国,2904,2013-06
蒂姆·波尔,德国,2705,2013-06
庄智渊,中国台湾,2657,2013-06
奥恰洛夫,德国,2633,2013-06
马琳,中国,2568,2013-06
王励勤,中国,2544,2013-06
萨姆索诺夫,白俄罗斯,2512,2013-06
马龙,中国,2998,2013-07
许昕,中国,2982,2013-07
王皓,中国,2954,2013-07
张继科,中国,2909,2013-07
蒂姆·波尔,德国,2721,2013-07
奥恰洛夫,德国,2665,2013-07
庄智渊,中国台湾,2610,2013-07
马琳,中国,2556,2013-07
樊振东,中国,2548,2013-07
闫安,中国,2542,2013-07
马龙,中国,3030,2013-08
许昕,中国,2993,2013-08
王皓,中国,2955,2013-08
张继科,中国,2909,2013-08
蒂姆·波尔,德国,2721,2013-08
奥恰洛夫,德国,2665,2013-08
庄智渊,中国台湾,2641,2013-08
闫安,中国,2589,2013-08
马琳,中国,2556,2013-08
王励勤,中国,2530,2013-08
马龙,中国,3090,2013-09
许昕,中国,3015,2013-09
王皓,中国,2902,2013-09
张继科,中国,2853,2013-09
蒂姆·波尔,德国,2681,2013-09
奥恰洛夫,德国,2655,2013-09
庄智渊,中国台湾,2624,2013-09
闫安,中国,2594,2013-09
马琳,中国,2539,2013-09
樊振东,中国,2530,2013-09
马龙,中国,3050,2013-10
许昕,中国,2961,2013-10
王皓,中国,2902,2013-10
张继科,中国,2853,2013-10
蒂姆·波尔,德国,2646,2013-10
奥恰洛夫,德国,2633,2013-10
庄智渊,中国台湾,2599,2013-10
闫安,中国,2579,2013-10
马琳,中国,2539,2013-10
樊振东,中国,2530,2013-10
马龙,中国,3050,2013-11
许昕,中国,3029,2013-11
王皓,中国,2902,2013-11
张继科,中国,2853,2013-11
奥恰洛夫,德国,2727,2013-11
蒂姆·波尔,德国,2621,2013-11
庄智渊,中国台湾,2618,2013-11
闫安,中国,2602,2013-11
萨姆索诺夫,白俄罗斯,2541,2013-11
马琳,中国,2539,2013-11
马龙,中国,3049,2013-12
许昕,中国,3043,2013-12
张继科,中国,2882,2013-12
王皓,中国,2877,2013-12
樊振东,中国,2861,2013-12
奥恰洛夫,德国,2787,2013-12
闫安,中国,2706,2013-12
蒂姆·波尔,德国,2660,2013-12
庄智渊,中国台湾,2650,2013-12
萨姆索诺夫,白俄罗斯,2591,2013-12
马龙,中国,3049,2014-01
许昕,中国,3002,2014-01
张继科,中国,2882,2014-01
王皓,中国,2841,2014-01
樊振东,中国,2837,2014-01
奥恰洛夫,德国,2787,2014-01
闫安,中国,2706,2014-01
蒂姆·波尔,德国,2660,2014-01
庄智渊,中国台湾,2620,2014-01
萨姆索诺夫,白俄罗斯,2591,2014-01
马龙,中国,3099,2014-02
许昕,中国,3093,2014-02
张继科,中国,2894,2014-02
樊振东,中国,2883,2014-02
王皓,中国,2867,2014-02
奥恰洛夫,德国,2787,2014-02
闫安,中国,2706,2014-02
蒂姆·波尔,德国,2660,2014-02
庄智渊,中国台湾,2623,2014-02
萨姆索诺夫,白俄罗斯,2591,2014-02
许昕,中国,3100,2014-03
马龙,中国,3001,2014-03
樊振东,中国,2940,2014-03
张继科,中国,2829,2014-03
王皓,中国,2807,2014-03
奥恰洛夫,德国,2770,2014-03
闫安,中国,2727,2014-03
庄智渊,中国台湾,2663,2014-03
蒂姆·波尔,德国,2657,2014-03
萨姆索诺夫,白俄罗斯,2594,2014-03
许昕,中国,3100,2014-04
马龙,中国,3050,2014-04
樊振东,中国,2980,2014-04
奥恰洛夫,德国,2852,2014-04
张继科,中国,2829,2014-04
王皓,中国,2806,2014-04
闫安,中国,2727,2014-04
庄智渊,中国台湾,2671,2014-04
蒂姆·波尔,德国,2657,2014-04
水谷隼,日本,2645,2014-04
许昕,中国,3076,2014-05
马龙,中国,3051,2014-05
樊振东,中国,2984,2014-05
奥恰洛夫,德国,2838,2014-05
张继科,中国,2807,2014-05
王皓,中国,2788,2014-05
庄智渊,中国台湾,2735,2014-05
水谷隼,日本,2710,2014-05
闫安,中国,2702,2014-05
蒂姆·波尔,德国,2670,2014-05
许昕,中国,3034,2014-06
马龙,中国,3009,2014-06
樊振东,中国,2963,2014-06
奥恰洛夫,德国,2810,2014-06
张继科,中国,2751,2014-06
王皓,中国,2739,2014-06
庄智渊,中国台湾,2707,2014-06
水谷隼,日本,2703,2014-06
闫安,中国,2667,2014-06
蒂姆·波尔,德国,2635,2014-06
许昕,中国,3116,2014-07
马龙,中国,3047,2014-07
樊振东,中国,2986,2014-07
奥恰洛夫,德国,2785,2014-07
张继科,中国,2769,2014-07
王皓,中国,2732,2014-07
庄智渊,中国台湾,2719,2014-07
水谷隼,日本,2715,2014-07
闫安,中国,2646,2014-07
蒂姆·波尔,德国,2610,2014-07
许昕,中国,3098,2014-08
马龙,中国,3023,2014-08
樊振东,中国,2971,2014-08
奥恰洛夫,德国,2785,2014-08
张继科,中国,2769,2014-08
王皓,中国,2732,2014-08
庄智渊,中国台湾,2710,2014-08
水谷隼,日本,2700,2014-08
闫安,中国,2625,2014-08
蒂姆·波尔,德国,2610,2014-08
许昕,中国,3063,2014-09
樊振东,中国,3003,2014-09
马龙,中国,2983,2014-09
张继科,中国,2769,2014-09
奥恰洛夫,德国,2755,2014-09
王皓,中国,2712,2014-09
水谷隼,日本,2700,2014-09
庄智渊,中国台湾,2685,2014-09
蒂姆·波尔,德国,2610,2014-09
闫安,中国,2605,2014-09
许昕,中国,3063,2014-10
樊振东,中国,3003,2014-10
马龙,中国,2983,2014-10
张继科,中国,2769,2014-10
奥恰洛夫,德国,2726,2014-10
王皓,中国,2712,2014-10
水谷隼,日本,2700,2014-10
庄智渊,中国台湾,2685,2014-10
蒂姆·波尔,德国,2618,2014-10
闫安,中国,2605,2014-10
许昕,中国,3058,2014-11
马龙,中国,3023,2014-11
樊振东,中国,2985,2014-11
张继科,中国,2886,2014-11
水谷隼,日本,2765,2014-11
奥恰洛夫,德国,2697,2014-11
庄智渊,中国台湾,2688,2014-11
蒂姆·波尔,德国,2653,2014-11
弗雷塔斯,葡萄牙,2545,2014-11
萨姆索诺夫,白俄罗斯,2527,2014-11
许昕,中国,3061,2014-12
马龙,中国,3023,2014-12
樊振东,中国,2976,2014-12
张继科,中国,2861,2014-12
水谷隼,日本,2755,2014-12
王皓,中国,2743,2014-12
奥恰洛夫,德国,2677,2014-12
庄智渊,中国台湾,2650,2014-12
蒂姆·波尔,德国,2623,2014-12
闫安,中国,2600,2014-12
许昕,中国,3043,2015-01
马龙,中国,3023,2015-01
樊振东,中国,2955,2015-01
张继科,中国,2861,2015-01
水谷隼,日本,2838,2015-01
奥恰洛夫,德国,2746,2015-01
王皓,中国,2743,2015-01
庄智渊,中国台湾,2681,2015-01
蒂姆·波尔,德国,2623,2015-01
弗雷塔斯,葡萄牙,2599,2015-01
许昕,中国,2991,2015-02
马龙,中国,2975,2015-02
樊振东,中国,2925,2015-02
张继科,中国,2839,2015-02
水谷隼,日本,2838,2015-02
奥恰洛夫,德国,2722,2015-02
王皓,中国,2713,2015-02
庄智渊,中国台湾,2657,2015-02
蒂姆·波尔,德国,2623,2015-02
弗雷塔斯,葡萄牙,2585,2015-02
马龙,中国,3075,2015-03
许昕,中国,2993,2015-03
樊振东,中国,2893,2015-03
张继科,中国,2879,2015-03
水谷隼,日本,2784,2015-03
奥恰洛夫,德国,2783,2015-03
王皓,中国,2713,2015-03
庄智渊,中国台湾,2665,2015-03
弗雷塔斯,葡萄牙,2648,2015-03
萨姆索诺夫,白俄罗斯,2607,2015-03
马龙,中国,3113,2015-04
许昕,中国,3028,2015-04
张继科,中国,2937,2015-04
樊振东,中国,2900,2015-04
水谷隼,日本,2776,2015-04
奥恰洛夫,德国,2773,2015-04
蒂姆·波尔,德国,2662,2015-04
弗雷塔斯,葡萄牙,2648,2015-04
萨姆索诺夫,白俄罗斯,2623,2015-04
庄智渊,中国台湾,2614,2015-04
马龙,中国,3203,2015-05
许昕,中国,3030,2015-05
张继科,中国,2969,2015-05
樊振东,中国,2967,2015-05
水谷隼,日本,2830,2015-05
奥恰洛夫,德国,2761,2015-05
蒂姆·波尔,德国,2707,2015-05
方博,中国,2693,2015-05
萨姆索诺夫,白俄罗斯,2660,2015-05
弗雷塔斯,葡萄牙,2656,2015-05
马龙,中国,3203,2015-06
许昕,中国,3030,2015-06
张继科,中国,2969,2015-06
樊振东,中国,2967,2015-06
水谷隼,日本,2830,2015-06
奥恰洛夫,德国,2761,2015-06
蒂姆·波尔,德国,2732,2015-06
方博,中国,2693,2015-06
萨姆索诺夫,白俄罗斯,2660,2015-06
弗雷塔斯,葡萄牙,2656,2015-06
马龙,中国,3143,2015-07
许昕,中国,3000,2015-07
樊振东,中国,2971,2015-07
张继科,中国,2933,2015-07
水谷隼,日本,2793,2015-07
奥恰洛夫,德国,2790,2015-07
蒂姆·波尔,德国,2733,2015-07
萨姆索诺夫,白俄罗斯,2675,2015-07
方博,中国,2664,2015-07
弗雷塔斯,葡萄牙,2658,2015-07
马龙,中国,3143,2015-08
许昕,中国,3000,2015-08
樊振东,中国,2971,2015-08
张继科,中国,2933,2015-08
奥恰洛夫,德国,2790,2015-08
水谷隼,日本,2784,2015-08
蒂姆·波尔,德国,2733,2015-08
萨姆索诺夫,白俄罗斯,2675,2015-08
方博,中国,2664,2015-08
弗雷塔斯,葡萄牙,2658,2015-08
马龙,中国,3209,2015-09
许昕,中国,3064,2015-09
樊振东,中国,2976,2015-09
张继科,中国,2938,2015-09
奥恰洛夫,德国,2784,2015-09
水谷隼,日本,2784,2015-09
蒂姆·波尔,德国,2763,2015-09
方博,中国,2701,2015-09
弗雷塔斯,葡萄牙,2693,2015-09
萨姆索诺夫,白俄罗斯,2646,2015-09
马龙,中国,3184,2015-10
许昕,中国,3096,2015-10
樊振东,中国,3041,2015-10
张继科,中国,2920,2015-10
奥恰洛夫,德国,2904,2015-10
水谷隼,日本,2859,2015-10
蒂姆·波尔,德国,2763,2015-10
弗雷塔斯,葡萄牙,2722,2015-10
方博,中国,2721,2015-10
庄智渊,中国台湾,2679,2015-10
马龙,中国,3199,2015-11
樊振东,中国,3145,2015-11
许昕,中国,3099,2015-11
奥恰洛夫,德国,2978,2015-11
张继科,中国,2879,2015-11
水谷隼,日本,2842,2015-11
弗雷塔斯,葡萄牙,2734,2015-11
蒂姆·波尔,德国,2721,2015-11
方博,中国,2721,2015-11
庄智渊,中国台湾,2675,2015-11
马龙,中国,3199,2015-12
樊振东,中国,3168,2015-12
许昕,中国,3108,2015-12
奥恰洛夫,德国,2938,2015-12
张继科,中国,2873,2015-12
水谷隼,日本,2811,2015-12
蒂姆·波尔,德国,2721,2015-12
弗雷塔斯,葡萄牙,2708,2015-12
庄智渊,中国台湾,2706,2015-12
方博,中国,2679,2015-12
马龙,中国,3275,2016-01
樊振东,中国,3232,2016-01
许昕,中国,3142,2016-01
奥恰洛夫,德国,2928,2016-01
张继科,中国,2914,2016-01
水谷隼,日本,2775,2016-01
庄智渊,中国台湾,2712,2016-01
弗雷塔斯,葡萄牙,2695,2016-01
方博,中国,2679,2016-01
萨姆索诺夫,白俄罗斯,2627,2016-01
马龙,中国,3339,2016-02
樊振东,中国,3232,2016-02
许昕,中国,3142,2016-02
张继科,中国,2965,2016-02
奥恰洛夫,德国,2954,2016-02
庄智渊,中国台湾,2842,2016-02
水谷隼,日本,2775,2016-02
萨姆索诺夫,白俄罗斯,2747,2016-02
蒂姆·波尔,德国,2739,2016-02
方博,中国,2716,2016-02
马龙,中国,3291,2016-03
樊振东,中国,3200,2016-03
许昕,中国,3106,2016-03
张继科,中国,2949,2016-03
奥恰洛夫,德国,2924,2016-03
水谷隼,日本,2783,2016-03
庄智渊,中国台湾,2776,2016-03
方博,中国,2694,2016-03
萨姆索诺夫,白俄罗斯,2676,2016-03
蒂姆·波尔,德国,2675,2016-03
马龙,中国,3351,2016-04
樊振东,中国,3256,2016-04
许昕,中国,3153,2016-04
张继科,中国,3058,2016-04
奥恰洛夫,德国,2985,2016-04
庄智渊,中国台湾,2805,2016-04
水谷隼,日本,2800,2016-04
萨姆索诺夫,白俄罗斯,2719,2016-04
黄镇廷,中国香港,2699,2016-04
方博,中国,2676,2016-04
马龙,中国,3303,2016-05
樊振东,中国,3214,2016-05
许昕,中国,3143,2016-05
张继科,中国,3054,2016-05
奥恰洛夫,德国,3001,2016-05
水谷隼,日本,2866,2016-05
庄智渊,中国台湾,2838,2016-05
黄镇廷,中国香港,2728,2016-05
萨姆索诺夫,白俄罗斯,2649,2016-05
蒂姆·波尔,德国,2615,2016-05
马龙,中国,3303,2016-06
